Event,EntryIndex,EntryTime,EntryPrice,ExitIndex,ExitTime,ExitPrice,TradePnL,CumulativePnL,Equity
EXIT,3748,2025-05-23 15:29:00+05:30,1140.5,3799,2025-05-26 10:05:00+05:30,1296.7,156.2,314.55,100315
ENTRY,3844,2025-05-26 10:50:00+05:30,1226,,,,,,
EXIT,3844,2025-05-26 10:50:00+05:30,1226,3869,2025-05-26 11:15:00+05:30,1237.1,11.1,325.65,100326
ENTRY,3871,2025-05-26 11:17:00+05:30,1268.6,,,,,,
EXIT,3871,2025-05-26 11:17:00+05:30,1268.6,3887,2025-05-26 11:33:00+05:30,1230,-38.6,287.05,100287
ENTRY,3905,2025-05-26 11:51:00+05:30,1250,,,,,,
EXIT,3905,2025-05-26 11:51:00+05:30,1250,3930,2025-05-26 12:16:00+05:30,1240,-10,277.05,100277
ENTRY,3949,2025-05-26 12:35:00+05:30,1256.05,,,,,,
EXIT,3949,2025-05-26 12:35:00+05:30,1256.05,3959,2025-05-26 12:45:00+05:30,1235.05,-21,256.05,100256
ENTRY,3983,2025-05-26 13:09:00+05:30,1247.2,,,,,,
EXIT,3983,2025-05-26 13:09:00+05:30,1247.2,4004,2025-05-26 13:30:00+05:30,1234.8,-12.4,243.65,100244
ENTRY,4012,2025-05-26 13:38:00+05:30,1245,,,,,,
EXIT,4012,2025-05-26 13:38:00+05:30,1245,4041,2025-05-26 14:07:00+05:30,1238.05,-6.95,236.7,100237
ENTRY,4053,2025-05-26 14:19:00+05:30,1251.55,,,,,,
EXIT,4053,2025-05-26 14:19:00+05:30,1251.55,4058,2025-05-26 14:24:00+05:30,1239.45,-12.1,224.6,100225
ENTRY,4071,2025-05-26 14:37:00+05:30,1256.5,,,,,,
EXIT,4071,2025-05-26 14:37:00+05:30,1256.5,4119,2025-05-26 15:25:00+05:30,1258.8,2.3,226.9,100227
ENTRY,4151,2025-05-27 09:42:00+05:30,1118.4,,,,,,
EXIT,4151,2025-05-27 09:42:00+05:30,1118.4,4160,2025-05-27 09:51:00+05:30,1104.95,-13.45,213.45,100213
ENTRY,4204,2025-05-27 10:35:00+05:30,1091.8,,,,,,
EXIT,4204,2025-05-27 10:35:00+05:30,1091.8,4216,2025-05-27 10:47:00+05:30,1064.5,-27.3,186.15,100186
ENTRY,4228,2025-05-27 10:59:00+05:30,1087.35,,,,,,
EXIT,4228,2025-05-27 10:59:00+05:30,1087.35,4275,2025-05-27 11:46:00+05:30,1249.55,162.2,348.35,100348
ENTRY,4292,2025-05-27 12:03:00+05:30,1243.5,,,,,,
EXIT,4292,2025-05-27 12:03:00+05:30,1243.5,4306,2025-05-27 12:17:00+05:30,1225,-18.5,329.85,100330
ENTRY,4366,2025-05-27 13:17:00+05:30,1150.7,,,,,,
EXIT,4366,2025-05-27 13:17:00+05:30,1150.7,4373,2025-05-27 13:24:00+05:30,1129.65,-21.05,308.8,100309
ENTRY,4390,2025-05-27 13:41:00+05:30,1142.75,,,,,,
EXIT,4390,2025-05-27 13:41:00+05:30,1142.75,4406,2025-05-27 13:57:00+05:30,1134.25,-8.5,300.3,100300
ENTRY,4445,2025-05-27 14:36:00+05:30,1100.05,,,,,,
EXIT,4445,2025-05-27 14:36:00+05:30,1100.05,4497,2025-05-27 15:28:00+05:30,1125.5,25.45,325.75,100326
ENTRY,4533,2025-05-28 09:49:00+05:30,1075.45,,,,,,
EXIT,4533,2025-05-28 09:49:00+05:30,1075.45,4540,2025-05-28 09:56:00+05:30,1055,-20.45,305.3,100305
ENTRY,4572,2025-05-28 10:28:00+05:30,1059.65,,,,,,
EXIT,4572,2025-05-28 10:28:00+05:30,1059.65,4580,2025-05-28 10:36:00+05:30,1050,-9.65,295.65,100296
ENTRY,4593,2025-05-28 10:49:00+05:30,1077,,,,,,
EXIT,4593,2025-05-28 10:49:00+05:30,1077,4615,2025-05-28 11:11:00+05:30,1060.55,-16.45,279.2,100279
ENTRY,4650,2025-05-28 11:46:00+05:30,1049.1,,,,,,
EXIT,4650,2025-05-28 11:46:00+05:30,1049.1,4670,2025-05-28 12:06:00+05:30,1059,9.9,289.1,100289
